entity:pedigree_id	FamilyID	FatherID	MotherID	Population	Sex	Superpopulation
HG04217	IT220	HG04198	HG04200	ITU	2	SAS
HG04219	IT228	0	0	ITU	1	SAS
HG04222	IT225	0	0	ITU	1	SAS
HG04225	IT231	0	0	ITU	1	SAS
HG04227	ST232	0	0	STU	2	SAS
HG04228	ST232	HG04229	HG04227	STU	1	SAS
HG04229	ST232	0	0	STU	1	SAS
HG04235	IT237	0	0	ITU	1	SAS
HG04238	IT240	0	0	ITU	1	SAS
HG04239	HG04239	0	0	ITU	1	SAS
NA06984	1328	0	0	CEU	1	EUR
NA06985	1341	0	0	CEU	2	EUR
NA06986	13291	0	0	CEU	1	EUR
NA06989	1328	0	0	CEU	2	EUR
NA06991	1341	NA06993	NA06985	CEU	2	EUR
NA06993	1341	0	0	CEU	1	EUR
NA06994	1340	0	0	CEU	1	EUR
NA06995	13291	NA07435	NA07037	CEU	1	EUR
