type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	0	10650	2170	10575	1	0.8297	0.9069	0	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	6121	1207	6074	1	0.8342	0.9096	0	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4529	963	4501	1	0.8238	0.9034	0	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	10389	2427	10318	1	0.8096	0.8948	2	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	6007	1319	5962	1	0.8188	0.9004	2	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4382	1108	4356	1	0.7972	0.8872	2	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	10246	2564	10181	1	0.7988	0.8881	3	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	5914	1408	5873	1	0.8066	0.8929	3	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4332	1156	4308	1	0.7884	0.8817	3	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	10053	2753	9992	1	0.784	0.8789	4	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	5756	1562	5719	1	0.7855	0.8799	4	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4297	1191	4273	1	0.782	0.8777	4	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	9978	2826	9919	1	0.7783	0.8753	5	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	5702	1614	5667	1	0.7783	0.8753	5	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4276	1212	4252	1	0.7782	0.8753	5	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	9864	2936	9809	1	0.7696	0.8698	7	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	5612	1701	5580	1	0.7664	0.8678	7	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4252	1235	4229	1	0.774	0.8726	7	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	9521	3275	9470	1	0.743	0.8526	10	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	5365	1945	5336	1	0.7329	0.8459	10	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4156	1330	4134	1	0.7566	0.8614	10	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	9410	3385	9360	1	0.7344	0.8469	12	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	5289	2020	5261	1	0.7226	0.839	12	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4121	1365	4099	1	0.7502	0.8573	12	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	9174	3617	9128	1	0.7162	0.8346	14	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	5118	2188	5093	1	0.6995	0.8232	14	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	4056	1429	4035	1	0.7385	0.8496	14	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	8652	4132	8613	1	0.6758	0.8065	21	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	4764	2537	4744	1	0.6516	0.7891	21	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	3888	1595	3869	1	0.7081	0.8291	21	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	8172	4607	8138	1	0.6385	0.7794	27	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	4444	2855	4426	1	0.6079	0.7561	27	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	3728	1752	3712	1	0.6794	0.8091	27	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	7858	4920	7825	1	0.614	0.7608	35	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	4233	3065	4216	1	0.579	0.7334	35	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	3625	1855	3609	1	0.6605	0.7955	35	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	7326	5443	7302	1	0.5729	0.7285	45	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	3885	3408	3873	1	0.5319	0.6944	45	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	3441	2035	3429	1	0.6276	0.7712	45	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	7055	5709	7036	1	0.5521	0.7114	50	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	3718	3573	3708	1	0.5093	0.6749	50	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	3337	2136	3328	1	0.6091	0.7571	50	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	6632	6130	6615	1	0.519	0.6833	60	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	3433	3856	3425	1	0.4704	0.6398	60	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	3199	2274	3190	1	0.5838	0.7372	60	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	5910	6848	5897	1	0.4627	0.6327	75	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	2997	4290	2991	1	0.4108	0.5824	75	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	2913	2558	2906	1	0.5318	0.6943	75	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	5287	7467	5278	1	0.4141	0.5857	90	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	2670	4615	2666	1	0.3662	0.5361	90	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	2617	2852	2612	1	0.478	0.6468	90	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	4906	7848	4897	1	0.3842	0.5551	99	giab6_hg37	giab_graph	HG002	all	call	0.5
INS	0	2477	4808	2473	1	0.3397	0.5071	99	giab6_hg37	giab_graph	HG002	all	call	0.5
DEL	0	2429	3040	2424	1	0.4436	0.6146	99	giab6_hg37	giab_graph	HG002	all	call	0.5
Total	0	4403	8349	4396	1	0.3449	0.5129	110	giab6_hg37	giab_graph	HG002	all	call	0.5
